event	flair	bambu	rnabloom	isotools	annotation	gene	species	type	longest_annotation
ENSMUSG00000018417_1_canonical	T	T	T	T	T	ENSMUSG00000018417	mus_musculus	canonical	T
ENSMUSG00000018417_1_alternative	T	T	T	T	T	ENSMUSG00000018417	mus_musculus	alternative	T
ENSMUSG00000018417_2_canonical	T	T	T	T	T	ENSMUSG00000018417	mus_musculus	canonical	T
ENSMUSG00000018417_2_alternative	F	F	T	F	T	ENSMUSG00000018417	mus_musculus	alternative	T
ENSMUSG00000018417_3_canonical	F	F	F	F	T	ENSMUSG00000018417	mus_musculus	canonical	T
ENSMUSG00000018417_3_alternative	F	F	F	F	T	ENSMUSG00000018417	mus_musculus	alternative	T
ENSMUSG00000018417_4_canonical	F	F	F	F	T	ENSMUSG00000018417	mus_musculus	canonical	T
ENSMUSG00000018417_4_alternative	F	F	T	F	F	ENSMUSG00000018417	mus_musculus	alternative	T
ENSMUSG00000018417_5_canonical	F	F	F	F	T	ENSMUSG00000018417	mus_musculus	canonical	T
ENSMUSG00000018417_5_alternative	F	F	T	F	F	ENSMUSG00000018417	mus_musculus	alternative	T
ENSMUSG00000018417_6_canonical	F	F	F	F	T	ENSMUSG00000018417	mus_musculus	canonical	T
ENSMUSG00000018417_6_alternative	F	F	T	F	F	ENSMUSG00000018417	mus_musculus	alternative	T
ENSMUSG00000018417_7_canonical	F	F	F	F	T	ENSMUSG00000018417	mus_musculus	canonical	T
ENSMUSG00000018417_7_alternative	F	F	T	F	F	ENSMUSG00000018417	mus_musculus	alternative	T
ENSMUSG00000018417_8_canonical	F	F	F	F	T	ENSMUSG00000018417	mus_musculus	canonical	T
ENSMUSG00000018417_8_alternative	F	F	T	F	F	ENSMUSG00000018417	mus_musculus	alternative	T
ENSMUSG00000018417_9_canonical	F	F	F	F	T	ENSMUSG00000018417	mus_musculus	canonical	T
ENSMUSG00000018417_9_alternative	F	F	T	F	F	ENSMUSG00000018417	mus_musculus	alternative	T
ENSMUSG00000018417_10_canonical	F	F	F	F	T	ENSMUSG00000018417	mus_musculus	canonical	T
ENSMUSG00000018417_10_alternative	F	F	T	F	F	ENSMUSG00000018417	mus_musculus	alternative	T
ENSMUSG00000018417_11_canonical	F	F	F	F	T	ENSMUSG00000018417	mus_musculus	canonical	T
ENSMUSG00000018417_11_alternative	F	F	T	F	F	ENSMUSG00000018417	mus_musculus	alternative	T
ENSMUSG00000018417_12_canonical	F	F	F	F	T	ENSMUSG00000018417	mus_musculus	canonical	T
ENSMUSG00000018417_12_alternative	T	T	F	T	F	ENSMUSG00000018417	mus_musculus	alternative	T
ENSMUSG00000018417_13_canonical	F	F	F	F	T	ENSMUSG00000018417	mus_musculus	canonical	T
ENSMUSG00000018417_13_alternative	F	F	T	F	F	ENSMUSG00000018417	mus_musculus	alternative	T
ENSMUSG00000018417_14_canonical	F	F	F	F	T	ENSMUSG00000018417	mus_musculus	canonical	T
ENSMUSG00000018417_14_alternative	F	F	T	F	F	ENSMUSG00000018417	mus_musculus	alternative	T
ENSMUSG00000018417_15_canonical	F	F	F	F	T	ENSMUSG00000018417	mus_musculus	canonical	T
ENSMUSG00000018417_15_alternative	F	F	T	F	F	ENSMUSG00000018417	mus_musculus	alternative	T
ENSMUSG00000018417_16_canonical	F	F	F	F	T	ENSMUSG00000018417	mus_musculus	canonical	T
ENSMUSG00000018417_16_alternative	F	F	T	F	F	ENSMUSG00000018417	mus_musculus	alternative	T
ENSMUSG00000018417_17_canonical	F	F	F	F	T	ENSMUSG00000018417	mus_musculus	canonical	T
ENSMUSG00000018417_17_alternative	F	F	T	F	F	ENSMUSG00000018417	mus_musculus	alternative	T
ENSMUSG00000018417_18_canonical	F	F	F	F	T	ENSMUSG00000018417	mus_musculus	canonical	T
ENSMUSG00000018417_18_alternative	F	F	T	F	F	ENSMUSG00000018417	mus_musculus	alternative	T
ENSMUSG00000018417_19_canonical	F	F	F	F	T	ENSMUSG00000018417	mus_musculus	canonical	T
ENSMUSG00000018417_19_alternative	F	F	T	F	F	ENSMUSG00000018417	mus_musculus	alternative	T
ENSMUSG00000018417_20_canonical	T	T	F	T	T	ENSMUSG00000018417	mus_musculus	canonical	T
ENSMUSG00000018417_20_alternative	F	F	T	F	F	ENSMUSG00000018417	mus_musculus	alternative	T
ENSMUSG00000018417_21_canonical	F	F	F	F	T	ENSMUSG00000018417	mus_musculus	canonical	T
ENSMUSG00000018417_21_alternative	T	T	F	T	F	ENSMUSG00000018417	mus_musculus	alternative	T
ENSMUSG00000018417_22_canonical	F	F	F	F	T	ENSMUSG00000018417	mus_musculus	canonical	T
ENSMUSG00000018417_22_alternative	T	T	F	T	F	ENSMUSG00000018417	mus_musculus	alternative	T
ENSMUSG00000019647_1_canonical	T	T	T	T	T	ENSMUSG00000019647	mus_musculus	canonical	T
ENSMUSG00000019647_1_alternative	T	F	F	F	F	ENSMUSG00000019647	mus_musculus	alternative	T
ENSMUSG00000019647_2_canonical	T	T	F	T	T	ENSMUSG00000019647	mus_musculus	canonical	T
ENSMUSG00000019647_2_alternative	T	F	F	F	F	ENSMUSG00000019647	mus_musculus	alternative	T
ENSMUSG00000019647_3_canonical	F	F	F	F	T	ENSMUSG00000019647	mus_musculus	canonical	T
ENSMUSG00000019647_3_alternative	F	F	F	F	T	ENSMUSG00000019647	mus_musculus	alternative	T
ENSMUSG00000019647_4_canonical	F	F	F	F	T	ENSMUSG00000019647	mus_musculus	canonical	T
ENSMUSG00000019647_4_alternative	T	T	F	T	T	ENSMUSG00000019647	mus_musculus	alternative	T
ENSMUSG00000019647_5_canonical	F	F	F	F	T	ENSMUSG00000019647	mus_musculus	canonical	T
ENSMUSG00000019647_5_alternative	F	F	T	F	F	ENSMUSG00000019647	mus_musculus	alternative	T
ENSMUSG00000019647_6_canonical	F	F	F	F	T	ENSMUSG00000019647	mus_musculus	canonical	T
ENSMUSG00000019647_6_alternative	F	F	T	F	F	ENSMUSG00000019647	mus_musculus	alternative	T
ENSMUSG00000019647_7_canonical	T	T	F	T	T	ENSMUSG00000019647	mus_musculus	canonical	T
ENSMUSG00000019647_7_alternative	F	F	T	F	F	ENSMUSG00000019647	mus_musculus	alternative	T
ENSMUSG00000019647_8_canonical	T	T	F	T	T	ENSMUSG00000019647	mus_musculus	canonical	T
ENSMUSG00000019647_8_alternative	F	F	T	F	F	ENSMUSG00000019647	mus_musculus	alternative	T
ENSMUSG00000019647_9_canonical	F	F	F	F	T	ENSMUSG00000019647	mus_musculus	canonical	T
ENSMUSG00000019647_9_alternative	F	F	T	F	F	ENSMUSG00000019647	mus_musculus	alternative	T
ENSMUSG00000019647_10_canonical	F	F	F	F	T	ENSMUSG00000019647	mus_musculus	canonical	T
ENSMUSG00000019647_10_alternative	T	F	F	F	F	ENSMUSG00000019647	mus_musculus	alternative	T
ENSMUSG00000019647_11_canonical	F	F	F	F	T	ENSMUSG00000019647	mus_musculus	canonical	T
ENSMUSG00000019647_11_alternative	F	F	T	F	F	ENSMUSG00000019647	mus_musculus	alternative	T
ENSMUSG00000020366_1_canonical	T	T	T	T	T	ENSMUSG00000020366	mus_musculus	canonical	T
ENSMUSG00000020366_1_alternative	T	T	T	T	T	ENSMUSG00000020366	mus_musculus	alternative	T
ENSMUSG00000020366_2_canonical	T	T	T	T	T	ENSMUSG00000020366	mus_musculus	canonical	T
ENSMUSG00000020366_2_alternative	T	T	T	T	T	ENSMUSG00000020366	mus_musculus	alternative	T
ENSMUSG00000020366_3_canonical	T	T	T	T	T	ENSMUSG00000020366	mus_musculus	canonical	T
ENSMUSG00000020366_3_alternative	T	T	F	T	F	ENSMUSG00000020366	mus_musculus	alternative	T
ENSMUSG00000020366_4_canonical	T	T	T	T	T	ENSMUSG00000020366	mus_musculus	canonical	T
ENSMUSG00000020366_4_alternative	F	F	T	F	F	ENSMUSG00000020366	mus_musculus	alternative	T
