Gene,1,2,3,4
ENSMUSG00000019843,0.0000,0.0000,0.0000,61.9048
ENSMUSG00000024985,0.0000,0.0000,6.8182,45.4545
ENSMUSG00000018417,0.0000,0.0000,27.4510,41.1765
ENSMUSG00000019647,0.0000,0.0000,37.9310,31.0345
ENSMUSG00000020366,0.0000,0.0000,0.0000,70.0000
ENSMUSG00000021936,3.3333,0.0000,20.0000,26.6667
ENSMUSG00000022883,0.0000,0.0000,0.0000,79.0698
ENSMUSG00000025020,0.0000,0.0000,0.0000,0.0000
ENSMUSG00000027646,0.0000,0.0000,0.0000,63.1579
ENSMUSG00000032366,0.0000,7.4380,7.4380,2.4793
ENSMUSG00000052516,0.0000,3.5714,33.9286,12.5000
ENSMUSG00000053825,0.0000,0.0000,91.8919,0.0000
ENSMUSG00000057897,0.0000,1.8868,30.1887,18.8679
