gene,1,2,3,4
ENSMUSG00000021936,0.00,0.00,0.00,0.00
ENSMUSG00000057897,32.00,0.00,0.00,0.00
ENSMUSG00000019647,22.22,0.00,0.00,0.00
ENSMUSG00000027646,100.00,0.00,0.00,0.00
ENSMUSG00000052516,0.00,10.53,0.00,0.00
ENSMUSG00000020366,83.33,0.00,16.67,0.00
ENSMUSG00000053825,42.86,57.14,0.00,0.00
ENSMUSG00000019843,100.00,0.00,0.00,0.00
ENSMUSG00000032366,0.00,0.00,0.00,0.00
ENSMUSG00000025020,0.00,0.00,0.00,0.00
ENSMUSG00000024985,90.48,4.76,0.00,4.76
ENSMUSG00000022883,91.67,8.33,0.00,0.00
ENSMUSG00000018417,0.00,0.00,0.00,0.00
