Gene,1,2,3,4
ENSMUSG00000019843,33.3333,0.0000,0.0000,0.0000
ENSMUSG00000024985,31.8182,2.2727,4.5455,2.2727
ENSMUSG00000018417,27.4510,0.0000,0.0000,0.0000
ENSMUSG00000019647,24.1379,0.0000,0.0000,0.0000
ENSMUSG00000020366,25.0000,0.0000,0.0000,0.0000
ENSMUSG00000021936,40.0000,0.0000,0.0000,0.0000
ENSMUSG00000022883,18.6047,0.0000,0.0000,0.0000
ENSMUSG00000025020,26.7857,0.0000,0.0000,0.0000
ENSMUSG00000027646,31.5789,0.0000,0.0000,0.0000
ENSMUSG00000032366,44.6281,26.4463,9.0909,0.0000
ENSMUSG00000052516,30.3571,0.0000,0.0000,1.7857
ENSMUSG00000053825,2.7027,2.7027,0.0000,0.0000
ENSMUSG00000057897,32.0755,7.5472,0.0000,0.0000
