Gene,with_1_suffix_and_gene,with_2_suffix_and_gene,with_3_suffix_and_gene,with_4_suffix_and_gene,without_1_suffix_and_gene,without_2_suffix_and_gene,without_3_suffix_and_gene,without_4_suffix_and_gene,total_s_exon
ENSG00000058404,0.337662,0.000000,0.000000,0.064935,0.532468,0.000000,0.025974,0.038961,77
ENSG00000197122,0.000000,0.000000,0.000000,0.625000,0.291667,0.000000,0.000000,0.000000,24
ENSG00000140416,0.000000,0.000000,0.044444,0.444444,0.377778,0.000000,0.044444,0.000000,45
ENSG00000139220,0.430556,0.000000,0.000000,0.208333,0.291667,0.013889,0.000000,0.000000,72
ENSG00000107643,0.000000,0.000000,0.000000,0.692308,0.307692,0.000000,0.000000,0.000000,26
ENSG00000187122,0.685185,0.000000,0.000000,0.000000,0.259259,0.000000,0.000000,0.000000,54
ENSG00000128641,0.000000,0.000000,0.000000,0.687500,0.312500,0.000000,0.000000,0.000000,48
ENSG00000148737,0.000000,0.000000,0.034483,0.465517,0.413793,0.017241,0.017241,0.000000,58
ENSG00000010810,0.195122,0.000000,0.121951,0.000000,0.609756,0.024390,0.024390,0.000000,41
ENSG00000169855,0.426829,0.036585,0.000000,0.048780,0.365854,0.000000,0.048780,0.024390,82
ENSG00000185008,0.720000,0.000000,0.000000,0.000000,0.200000,0.000000,0.000000,0.000000,50
ENSG00000092421,0.479167,0.000000,0.000000,0.000000,0.479167,0.000000,0.000000,0.000000,48
ENSG00000050748,0.297297,0.000000,0.000000,0.081081,0.405405,0.027027,0.027027,0.027027,37
