event	flair	bambu	rnabloom	isotools	annotation	gene	species	type	longest_annotation
ENSG00000058404_1_canonical	F	F	T	F	T	ENSG00000058404	homo_sapiens	canonical	T
ENSG00000058404_1_alternative	F	F	T	F	T	ENSG00000058404	homo_sapiens	alternative	T
ENSG00000058404_2_canonical	F	F	T	F	T	ENSG00000058404	homo_sapiens	canonical	T
ENSG00000058404_2_alternative	F	F	T	F	T	ENSG00000058404	homo_sapiens	alternative	T
ENSG00000058404_3_canonical	F	F	T	F	T	ENSG00000058404	homo_sapiens	canonical	T
ENSG00000058404_3_alternative	F	F	T	F	T	ENSG00000058404	homo_sapiens	alternative	T
ENSG00000058404_4_canonical	F	F	T	F	T	ENSG00000058404	homo_sapiens	canonical	T
ENSG00000058404_4_alternative	F	F	T	F	T	ENSG00000058404	homo_sapiens	alternative	T
ENSG00000058404_5_canonical	F	F	T	F	T	ENSG00000058404	homo_sapiens	canonical	T
ENSG00000058404_5_alternative	F	F	T	F	T	ENSG00000058404	homo_sapiens	alternative	T
ENSG00000058404_6_canonical	F	F	T	F	T	ENSG00000058404	homo_sapiens	canonical	T
ENSG00000058404_6_alternative	F	F	T	F	T	ENSG00000058404	homo_sapiens	alternative	T
ENSG00000058404_7_canonical	F	F	T	F	T	ENSG00000058404	homo_sapiens	canonical	T
ENSG00000058404_7_alternative	F	F	T	F	T	ENSG00000058404	homo_sapiens	alternative	T
ENSG00000058404_8_canonical	F	F	T	F	T	ENSG00000058404	homo_sapiens	canonical	T
ENSG00000058404_8_alternative	F	F	T	F	T	ENSG00000058404	homo_sapiens	alternative	T
ENSG00000058404_9_canonical	F	F	F	F	T	ENSG00000058404	homo_sapiens	canonical	T
ENSG00000058404_9_alternative	F	F	F	F	T	ENSG00000058404	homo_sapiens	alternative	T
ENSG00000058404_10_canonical	F	F	T	F	T	ENSG00000058404	homo_sapiens	canonical	T
ENSG00000058404_10_alternative	F	F	T	F	F	ENSG00000058404	homo_sapiens	alternative	T
ENSG00000058404_11_canonical	F	F	T	F	T	ENSG00000058404	homo_sapiens	canonical	T
ENSG00000058404_11_alternative	F	F	T	F	F	ENSG00000058404	homo_sapiens	alternative	T
ENSG00000058404_12_canonical	F	F	T	F	T	ENSG00000058404	homo_sapiens	canonical	T
ENSG00000058404_12_alternative	F	F	T	F	F	ENSG00000058404	homo_sapiens	alternative	T
ENSG00000058404_13_canonical	F	F	T	F	T	ENSG00000058404	homo_sapiens	canonical	T
ENSG00000058404_13_alternative	F	F	T	F	F	ENSG00000058404	homo_sapiens	alternative	T
ENSG00000058404_14_canonical	F	F	T	F	T	ENSG00000058404	homo_sapiens	canonical	T
ENSG00000058404_14_alternative	F	F	F	F	T	ENSG00000058404	homo_sapiens	alternative	T
